pair;round;nrTurns;success
0;0;7;false
0;1;7;true
0;2;7;true
0;3;4;false
0;4;1;true
0;5;1;true
1;0;1;true
1;1;2;true
1;2;4;true
1;3;5;false
1;4;6;false
1;5;4;false
2;0;5;false
2;1;1;false
2;2;1;false
2;3;2;false
2;4;2;false
2;5;2;true
3;0;3;false
3;1;1;true
3;2;1;true
3;3;1;true
3;4;1;true
3;5;1;true
4;0;2;true
4;1;4;true
4;2;1;false
4;3;7;false
4;4;7;true
4;5;6;false
5;0;2;true
5;1;2;true
5;2;3;true
5;3;1;true
5;4;1;true
5;5;7;false
6;0;2;true
6;1;2;true
6;2;1;true
6;3;1;true
6;4;7;false
6;5;7;true
7;0;4;false
7;1;1;true
7;2;1;false
7;3;1;true
7;4;2;true
7;5;1;true
8;0;4;true
8;1;1;false
8;2;1;true
8;3;1;true
8;4;1;false
8;5;1;true
9;0;7;true
9;1;7;true
9;2;7;true
9;3;4;false
9;4;1;false
9;5;1;true
