pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R1;S3;R2;S1;NA;0.8008458171498480173598051902764839;3.3393478484531018888222707765327051012848;3.3393478484531018888222707765327051012848;0E-41;0E-41
0;0;0;R1;S1;R1;S3;0.9998542499091168421262732895721902;0.9731809068381808733209561881538371;3.3393478484531018888222707765327051012848;1.4524547412604743397973601175436295822786051735;6.73153231155576781038464193185875486107794;1.6234176455645718072314419121733351318430583777
0;0;1;R1;S1;R2;S2;0.9731770890550117435996609451105680;0.9986652871718199905015871011189767;1.4524547412604743397973601175436295822786051735;1.519123554770538931810927454692335413340709641353608104807;0.0809182582670377240750644116802794519106357096;0.076696351838406526807608372100719373217532042029009403797
0;0;2;R1;S2;R2;S1;0.0020676232406285265468252040938088702;0.9999999999999891978627161939550946;1.519123554770538931810927454692335413340709641353608104807;0.410919742804233519373175381886552639521906871782520545234;1.60710406820030055456041237194917016330767262553142529532685;8.55368270280127337233563835783269484602588995000924913877231
0;0;3;R1;S3;R1;S3;0.9991389786102564312089032457428925;0.9999999999999224042569634017612370;0.410919742804233519373175381886552639521906871782520545234;0.0000299899168161482826740795129728497702404506334963548860509;0.7025850723749390194930775716448626727936114768351122737564;0.06836561168800477808004261872068701952988885905508036744341589
0;0;4;R1;S3;R2;S1;0.9999999999999224042569634017612370;0.9999999999937148604080629702623030;0.0000299899168161482826740795129728497702404506334963548860509;0.00010838611515289853217200895594186723308493064790227152465;0.00002153473138068367385276427776694407105607543051784552832620;0.0000078859834973977839136413380636023535343905240195004785958
0;0;5;R1;S3;NA;NA;0.9999999999937148604080857061768167;NA;0.00010838611515289853217200895594186723308493064790227152465;NA;NA;NA
0;1;0;R2;S3;R1;S3;NA;0.9999999994909724167105405552465805;0.0008194896288247338662911619031782789233745932008061662867;0.0008194896288247338662911619031782789233745932008061662867;0E-59;0E-59
0;1;0;R2;S3;R1;S2;0.9999999994909724167105405552465805;0.9999999588175583530847986263661732;0.0008194896288247338662911619031782789233745932008061662867;0.00596968956212223868151566259829528197005456495451675735;0.0002853859186629742768422058957024450180166614655334377896;0.000578958036974553630349945165186591778087228288993437949
0;1;1;R2;S1;R1;S3;0.9999999999999999999999999999999999;0.9999999999999999969621081783917149;0.00596968956212223868151566259829528197005456495451675735;1.152193671031351492023855423217978936273714092E-7;0.004720283383497553999738237513906206227797537058826261;0.00044262446581935792283635780942918903336541238147589
