pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S1;R1;S1;NA;0.8217189583639818882806276870832640;3.308978125169862621149864231478368493798318;3.308978125169862621149864231478368493798318;1.946232518919189033494462954228875855800720;1.946232518919189033494462954228875855800720
0;0;0;R2;S1;R1;S1;0.9582767337331020819267984472664238;0.8825827965600260125359479385020530;3.308978125169862621149864231478368493798318;2.74025472708873715997488895406767073010848098;6.966984396832471066277810318520895705395073;2.634902068300962015592070482750908473252127881
0;0;1;R2;S1;R2;S3;0.9466928768986011597810116587214590;0.9989805411183047307297854065274981;1.81093760656003845023678442054906673441512108;2.61623273504596590944179627841512109520438539388985;1.254429252301741275616429642752724997819696276;2.000687393703768538965097336784943231205218022197350
0;0;2;R2;I understand;NA;NA;0.5360725779494501377539327349895455;NA;1.23880272921601327798263524974483003356954407013858;NA;NA;NA
0;1;0;R2;S2;R2;I understand;NA;0.21237305565704627391135725608938232;1.23880272921601327798263524974483003356954407013858;0.83933123475314624592629939091708922373727270578021687;4.733241902559741690209680638134734994469047152342324;6.78753247304650292043897236510551065288902733509821412
0;2;0;R1;S2;R2;I understand;NA;0.21237305565704627391135725608938232;1.23880272921601327798263524974483003356954407013858;0.83933123475314624592629939091708922373727270578021687;4.733241902559741690209680638134734994469047152342324;6.78753247304650292043897236510551065288902733509821412
0;3;0;R2;S1;R1;I understand;NA;0.34070195328135189850291830608807085;1.23880272921601327798263524974483003356954407013858;0.83933123475314624592629939091708922373727270578021687;4.733241902559741690209680638134734994469047152342324;6.78753247304650292043897236510551065288902733509821412
0;4;0;R1;S3;R1;I understand;NA;0.28015319768270873738448265175665049;1.23880272921601327798263524974483003356954407013858;0.83933123475314624592629939091708922373727270578021687;4.733241902559741690209680638134734994469047152342324;6.78753247304650292043897236510551065288902733509821412
0;5;0;R2;S1;R1;I understand;NA;0.34070195328135189850291830608807085;1.23880272921601327798263524974483003356954407013858;0.83933123475314624592629939091708922373727270578021687;4.733241902559741690209680638134734994469047152342324;6.78753247304650292043897236510551065288902733509821412
1;0;0;R1;S2;R1;S1;NA;0.9209939305673082776038226487580610;3.308978125169862621149864231478368493798318;3.308978125169862621149864231478368493798318;1.946232518919189033494462954228875855800720;1.946232518919189033494462954228875855800720
