pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R2;S3;R1;S3;NA;0.8721788630627342682245785370574050;3.308978125169862621149864231478368493798318;3.308978125169862621149864231478368493798318;1.946232518919189033494462954228875855800720;1.946232518919189033494462954228875855800720
0;0;0;R2;S1;R1;S1;0.9981922107813622210162705175228002;0.9632467391686990330633012184658999;3.308978125169862621149864231478368493798318;2.755088593941894898563439413456641597344743;0.828397582990859610552151263859409774074850;1.789306471403421554092601873939245721995273
0;0;1;R2;S3;R1;I understand;0.9999997662759010066286480794398618;0.27223840900783500775844105263854855;2.45947354496820965991452800184789330830005;2.210955067889193265326041183933482677799806;0.966304708740349442734681250546308804079;2.064406335461143949121164266106275460027187
0;1;0;R2;S1;R1;I understand;NA;0.36932539990676735720973842987018316;2.243550106299473204082422515209171014492;2.210955067889193265326041183933482677799806;1.4965501429450196728006360494731732234753;1.388417819870074464710001069566102552162703
0;2;0;R2;S2;R1;S1;NA;0.9866108726120638646580407027999702;2.243550106299473204082422515209171014492;2.210955067889193265326041183933482677799806;1.4965501429450196728006360494731732234753;1.388417819870074464710001069566102552162703
0;2;0;R2;S1;R1;I understand;0.6447682318473192996161565094145625;0.4651381742309414572801711733612529;2.243550106299473204082422515209171014492;1.93767322936949799541567901728523883256;1.2818332740963498620552731854877846025300;2.076516345069194143442115253174665360782
0;3;0;R2;S1;R1;I understand;NA;0.4651381742309414572801711733612529;1.74343493192543109369912227292015569039;1.93767322936949799541567901728523883256;1.505955868410604786518395760803615162982;1.649621863969530425567909856796774843920
0;4;0;R2;S2;R2;I understand;NA;0.5525635045681940523060840815122722;1.74343493192543109369912227292015569039;1.93767322936949799541567901728523883256;1.505955868410604786518395760803615162982;1.649621863969530425567909856796774843920
0;5;0;R2;S1;R1;I understand;NA;0.4651381742309414572801711733612529;1.74343493192543109369912227292015569039;1.93767322936949799541567901728523883256;1.505955868410604786518395760803615162982;1.649621863969530425567909856796774843920
1;0;0;R1;S2;R1;S3;NA;0.9349811812525696668308696921005507;3.308978125169862621149864231478368493798318;3.308978125169862621149864231478368493798318;1.946232518919189033494462954228875855800720;1.946232518919189033494462954228875855800720
1;0;0;R1;S2;R1;I understand;0.9981922107813622210162705175228002;0.31411990407036258807950547004654376;3.308978125169862621149864231478368493798318;2.7772643619469202380592730548219326588717;1.8054820751096362988732373826905205774671;2.1537359457106865463978747659709221822361
