pair;round;nrTurns;success
0;0;4;false
0;1;7;false
0;2;7;false
0;3;4;false
0;4;1;false
0;5;1;false
1;0;7;true
1;1;5;false
1;2;1;false
1;3;7;false
1;4;3;false
1;5;1;true
2;0;7;false
2;1;5;false
2;2;7;false
2;3;3;false
2;4;1;false
2;5;1;true
3;0;7;false
3;1;6;false
3;2;1;false
3;3;7;true
3;4;2;true
3;5;1;false
4;0;7;false
4;1;3;false
4;2;1;false
4;3;1;true
4;4;1;false
4;5;1;false
5;0;7;false
5;1;6;false
5;2;1;true
5;3;7;false
5;4;2;false
5;5;1;false
6;0;7;false
6;1;1;false
6;2;1;false
6;3;1;false
6;4;1;false
6;5;1;false
7;0;7;false
7;1;2;true
7;2;1;false
7;3;7;false
7;4;6;false
7;5;1;true
8;0;7;true
8;1;2;false
8;2;4;false
8;3;1;false
8;4;7;false
8;5;1;false
9;0;5;false
9;1;3;true
9;2;1;false
9;3;1;true
9;4;1;true
9;5;1;true
10;0;5;false
10;1;1;false
10;2;3;false
10;3;1;true
10;4;3;false
10;5;1;false
11;0;5;true
11;1;2;true
11;2;1;true
11;3;5;true
11;4;5;true
11;5;1;false
12;0;7;false
12;1;7;false
12;2;7;false
12;3;1;false
12;4;1;false
12;5;1;false
13;0;6;false
13;1;3;false
13;2;1;false
13;3;3;false
13;4;2;true
13;5;1;false
14;0;4;true
14;1;2;false
14;2;1;true
14;3;1;false
14;4;3;false
14;5;7;false
15;0;7;true
15;1;7;false
15;2;7;true
15;3;1;false
15;4;1;false
15;5;1;true
16;0;3;true
16;1;2;true
16;2;2;true
16;3;1;false
16;4;7;false
16;5;2;false
17;0;7;false
17;1;6;false
17;2;1;true
17;3;7;true
17;4;2;true
17;5;1;false
18;0;5;true
18;1;7;true
18;2;7;false
18;3;3;true
18;4;1;true
18;5;1;true
19;0;7;false
19;1;7;true
19;2;5;false
19;3;2;false
19;4;2;true
19;5;1;false
20;0;7;true
20;1;7;false
20;2;7;true
20;3;1;false
20;4;1;true
20;5;1;false
21;0;7;true
21;1;3;false
21;2;1;false
21;3;1;false
21;4;1;true
21;5;1;false
22;0;7;false
22;1;1;false
22;2;7;true
22;3;7;true
22;4;1;false
22;5;1;false
23;0;7;false
23;1;7;false
23;2;7;true
23;3;1;false
23;4;1;false
23;5;1;false
24;0;7;false
24;1;7;true
24;2;7;false
24;3;1;false
24;4;1;false
24;5;1;true
25;0;7;false
25;1;2;false
25;2;1;false
25;3;1;false
25;4;1;false
25;5;1;true
26;0;5;true
26;1;7;false
26;2;7;true
26;3;2;false
26;4;2;false
26;5;1;false
27;0;7;false
27;1;5;true
27;2;7;true
27;3;3;true
27;4;1;true
27;5;1;false
28;0;6;true
28;1;2;false
28;2;1;true
28;3;1;false
28;4;2;false
28;5;2;true
29;0;6;true
29;1;1;true
29;2;1;false
29;3;7;true
29;4;7;false
29;5;2;true
30;0;7;false
30;1;7;true
30;2;1;false
30;3;1;true
30;4;3;false
30;5;3;true
31;0;7;false
31;1;7;true
31;2;7;false
31;3;1;false
31;4;1;true
31;5;1;false
32;0;7;false
32;1;2;false
32;2;1;false
32;3;1;false
32;4;1;false
32;5;1;false
33;0;6;false
33;1;1;false
33;2;7;false
33;3;7;false
33;4;2;false
33;5;1;false
34;0;7;true
34;1;7;false
34;2;7;true
34;3;1;false
34;4;1;false
34;5;1;false
35;0;7;true
35;1;7;true
35;2;7;false
35;3;1;false
35;4;1;true
35;5;1;false
36;0;7;false
36;1;6;false
36;2;1;false
36;3;7;true
36;4;2;false
36;5;1;false
37;0;6;false
37;1;1;false
37;2;1;false
37;3;1;false
37;4;1;false
37;5;1;false
38;0;6;false
38;1;1;false
38;2;5;true
38;3;4;false
38;4;1;false
38;5;2;true
39;0;6;true
39;1;7;false
39;2;1;true
39;3;3;true
39;4;1;true
39;5;1;true
40;0;7;false
40;1;3;true
40;2;1;false
40;3;7;false
40;4;5;false
40;5;1;false
41;0;7;true
41;1;1;true
41;2;1;false
41;3;2;false
41;4;4;true
41;5;1;true
42;0;6;true
42;1;1;true
42;2;1;true
42;3;2;false
42;4;2;false
42;5;1;true
43;0;7;true
43;1;3;true
43;2;1;true
43;3;1;false
43;4;1;false
43;5;1;false
44;0;7;true
44;1;7;true
44;2;6;false
44;3;2;true
