pair;round;turn;initiatorIntention;initiatorSignal;responderInference;responderSignal;entropyInitiatorListen;entropyResponderListen;entropyInitiatorLexicon;entropyResponderLexicon;KLDivItoR;KLDivRtoI
0;0;0;R3;S1;R3;S2;NA;1.5612384849144378568367514246970921;6.5560472278354841223436765951525469225896484962511999549249819264812717610;6.5560472278354841223436765951525469705758751172624520683573330389125322911;0.0000056710247823464896578141621902541948554622925857128523549622682665566;0.0000056710247823464896578141621902541960781723338067229204339522612463456
0;0;0;R3;S2;R1;S1;1.5480989557903959812974944840593158;1.3436432975789227513273759551419109;6.5560472278354841223436765951525469225896484962511999549249819264812717610;5.1000835995428043874464680370038188767387682955832299177786964348286472;1.780163667656750993843192480651079880580614308192928515738846793008E-7;0.0000133561297828783952949794438935390912817785019033034622208624960524
0;0;1;R3;S1;R1;S4;1.5426800218374057665721821062701133;1.2920335548869447103295470867244379;4.2395009954162314615577730898000865896568468895942973035769872776910768;4.0348465992301484549135551259144714494272680207003260532622576555427;2.141538813050032698094312242191633794689874759076240805579071319E-7;2.5992391322039012002663979031680842923082051615449123155742307E-7
0;0;2;R3;S2;R1;I understand;1.4909283408437639248283538339589966;0.6442471377023505450429503892641727;2.085426228250145341865874638962339573324163693634870080945576940704893;1.500096640340337315845361230664913460953680397508339586937420318616;3.4931738513822475388327705482122680827775385692063675592759E-11;1.39512518973069396795290668687109411266396870546338565516E-10
0;1;0;R2;S3;R1;S4;NA;1.5756489573672034768485643780840050;1.470541536438842549560138087108549113483680250392335521636580402323;1.500096640340337315845361230664913460953680397508339586937420318616;3.2448393027075288374470252362111418026009446858730823931E-11;8.6323231377258429550141189957713470366955382247877339482E-11
0;1;0;R2;S3;R2;S2;1.5049234203061362946902798876407363;1.5254402449485994044265308250799695;1.470541536438842549560138087108549113483680250392335521636580402323;3.16963751736217173116960536055378740155515700582933731577061451;1.100804684080773464474216180829565832726022114493700061E-11;8.3535585824918787659917440361388947786788467726626480E-11
0;1;1;R2;S3;R3;S3;1.2156521397290418710139009411323275;1.5208418105872135460458597719838401;2.91502494436494117767405294419221279765846147114941754187304670;2.660339964691971845440720331276460533300201911628467443685204;1.5047654918967202041286001849027012102079301281779E-13;1.530082833825311273469728614616409317960317999652446E-11
0;1;2;R2;S3;R3;S3;1.3145913993518586408336235128840966;1.5298029142564831717987182395144308;2.14553904978312273350183108423665372253325842484979215656798;2.3691745955546617696897068373105712463641650182723466840220;4.65853348889494421386398302698829079826522036938E-13;1.73760301131302807627210537277506698416846074E-14
0;1;3;R2;S3;R1;S2;1.2566546440128890762986445314961324;1.5514393551252295543904695510969920;1.369633641596745269778744483804176597290911855783044581505;2.7465741957481989497331638937539022210979458038541211721;3.86342190052792218318798645600920231691178E-15;8.796112788460950893129663507772183911777E-17
0;1;4;R2;S3;R1;S2;1.3194895395294692124020962152339635;1.5484563737236029162370619161998059;2.4627092093026568470604609063515384810764873632347572851;2.79728973621831414261821638075119782101620832176655460;8.1132341780414765632325057054855504971079E-16;8.491474923922439875508980878395596188084E-17
0;1;5;R2;S1;NA;NA;1.4013477789821313737384323978143565;NA;2.55936091314120355715140274128677244859752581713267191;NA;NA;NA
0;2;0;R2;S3;R2;S3;NA;1.3515180273493987123375063289860977;2.893311661140153611085781264378220159884034635858145;2.813177069227251876142949399799198054393932006849562;0.0;0.0
0;2;0;R2;S1;R2;S4;1.1730738563335172648789832923483476;1.5773852514517175210287579405260451;2.893311661140153611085781264378220159884034635858145;1.65918400978808225773690328480051495008196513963163;0.0;0.0
0;2;1;R2;S1;R3;S4;1.3555615948465365077341813568653809;1.5573971313777024041851975904460867;1.88940590222106044403323903087766079358141373373553;2.76653699761692912106180443145358783060130132698;0.0;0.0
